carName,trim,engine,compressor,exhaust,gas,output,torque,fuel,lengthWidth,weight,shift,carType,year,image,price
현대 그랜저,2.5 가솔린,I4,자연흡기,"2,497cc",가솔린,198hp,25.3kg.m,11.2~11.7km/ℓ,"5,035mm / 1,880mm","1,620~1,655kg",자동8단,준대형 세단,2025.0,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20240605_156%2Fauto_1717549536109w4xp7_PNG%2F20240605100529_slRrSjgt.png,"3,711~5,241만원"
현대 그랜저,3.5 가솔린,V6,자연흡기,"3,470cc",가솔린,300hp,36.6kg.m,9.7~10.4km/ℓ,"5,035mm / 1,880mm","1,695~1,730kg",자동8단,준대형 세단,2025.0,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20240605_156%2Fauto_1717549536109w4xp7_PNG%2F20240605100529_slRrSjgt.png,"3,711~5,241만원"
현대 그랜저,3.5 가솔린 AWD,V6,자연흡기,"3,470cc",가솔린,300hp,36.6kg.m,9~9.5km/ℓ,"5,035mm / 1,880mm","1,765~1,800kg",자동8단,준대형 세단,2025.0,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20240605_156%2Fauto_1717549536109w4xp7_PNG%2F20240605100529_slRrSjgt.png,"3,711~5,241만원"
현대 그랜저,3.5 LPG,V6,자연흡기,"3,470cc",LPG,240hp,32kg.m,7.8km/ℓ,"5,035mm / 1,880mm","1,715kg",자동8단,준대형 세단,2025.0,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20240605_156%2Fauto_1717549536109w4xp7_PNG%2F20240605100529_slRrSjgt.png,"3,711~5,241만원"
현대 그랜저 하이브리드,1.6 HEV,I4,싱글터보,"1,598cc",자료없음,"230hp,180hp","27kg.m,35.7kg.m",15.7~18km/ℓ,"5,035mm / 1,880mm","1,700~1,735kg",자동6단,준대형 세단,2025.0,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20240605_120%2Fauto_171754956303237oYf_PNG%2F20240605100555_AebtcNop.png,"4,267~5,332만원"
현대 더 뉴 그랜저 IG,2.5 가솔린,I4,자연흡기,"2,497cc",가솔린,198hp,25.3kg.m,11.1~11.9km/ℓ,"4,990mm / 1,875mm","1,575~1,625kg",자동8단,준대형 세단,2022.0,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20220511_177%2Fauto_1652239087546LAvL2_PNG%2F20220511121759_sjeB82a9.png,"3,392~4,486만원"
현대 더 뉴 그랜저 IG,3.3 가솔린,V6,자연흡기,"3,342cc",가솔린,290hp,35kg.m,9.6~9.7km/ℓ,"4,990mm / 1,875mm","1,660~1,670kg",자동8단,준대형 세단,2022.0,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20220511_177%2Fauto_1652239087546LAvL2_PNG%2F20220511121759_sjeB82a9.png,"3,392~4,486만원"
현대 더 뉴 그랜저 IG,3.0 LPi,V6,자연흡기,"2,999cc",LPG,235hp,28.6kg.m,7.4~7.5km/ℓ,"4,990mm / 1,875mm","1,640~1,665kg",자동6단,준대형 세단,2022.0,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20220511_177%2Fauto_1652239087546LAvL2_PNG%2F20220511121759_sjeB82a9.png,"3,392~4,486만원"
현대 더 뉴 그랜저 IG 하이브리드,2.4 HEV,l4,자연흡기,"2,359cc",자료없음,"200hp,159hp",21kg.m,16.2km/ℓ,"4,930mm / 1,865mm","1,675kg",자동6단,준대형 세단,2017.0,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20200819_38%2Fauto_15978095284540XMEC_PNG%2F20200819125846_xUu26XaW.png,"3,540~3,970만원"
현대 그랜저 IG 하이브리드,2.4 HEV,l4,자연흡기,"2,359cc",자료없음,"200hp,159hp",21kg.m,16.2km/ℓ,"4,930mm / 1,865mm","1,675kg",자동6단,준대형 세단,2017.0,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.p+static.net%2F20200819_38%2Fauto_15978095284540XMEC_PNG%2F20200819125846_xUu26XaW.png,"3,540~3,970만원"
